"pay_month","user_id","game_name","total_revenue","new_paid_users","new_mrr","churned_users","churned_revenue","expansion_mrr","contraction_revenue","back_from_churt_revenue","previous_paid_month","pervious_month","language","has_older_device_model","age"
2022-11-01,"0dJXy70SFjxVR6YgOPZzMQ==",game 3,17.19,"0dJXy70SFjxVR6YgOPZzMQ==",17.19,"0dJXy70SFjxVR6YgOPZzMQ==",,,,,,2022-10-01,uk,false,27
2022-07-01,"14RMzQMoG017OLkaDBFjng==",game 3,14.43,"14RMzQMoG017OLkaDBFjng==",14.43,,14.43,,,,,2022-06-01,uk,false,36
2022-11-01,"14RMzQMoG017OLkaDBFjng==",game 3,12.75,,,"14RMzQMoG017OLkaDBFjng==",,,,12.75,2022-07-01,2022-10-01,uk,false,36
2022-08-01,"1BBMagZRq/39AV1l2rm4Iw==",game 3,89.04,"1BBMagZRq/39AV1l2rm4Iw==",89.04,,,,,,,2022-07-01,ru,false,23
2022-09-01,"1BBMagZRq/39AV1l2rm4Iw==",game 3,34.8,,,,,,-54.24,,2022-08-01,2022-08-01,ru,false,23
2022-10-01,"1BBMagZRq/39AV1l2rm4Iw==",game 3,55.80,,,,,21.00,,,2022-09-01,2022-09-01,ru,false,23
2022-11-01,"1BBMagZRq/39AV1l2rm4Iw==",game 3,148.14,,,"1BBMagZRq/39AV1l2rm4Iw==",,92.34,,,2022-10-01,2022-10-01,ru,false,23
2022-08-01,"1dvc3uv3gFy83YY5oJeFkQ==",game 3,45.93,"1dvc3uv3gFy83YY5oJeFkQ==",45.93,"1dvc3uv3gFy83YY5oJeFkQ==",,,,,,2022-07-01,uk,false,17
2022-06-01,"1jx1AjqUwE9sbCyafQnUNQ==",game 3,56.13,"1jx1AjqUwE9sbCyafQnUNQ==",56.13,,,,,,,2022-05-01,ru,false,25
2022-07-01,"1jx1AjqUwE9sbCyafQnUNQ==",game 3,16.29,,,,,,-39.84,,2022-06-01,2022-06-01,ru,false,25
2022-08-01,"1jx1AjqUwE9sbCyafQnUNQ==",game 3,21.18,,,,,4.89,,,2022-07-01,2022-07-01,ru,false,25
2022-09-01,"1jx1AjqUwE9sbCyafQnUNQ==",game 3,13.71,,,,,,-7.47,,2022-08-01,2022-08-01,ru,false,25
2022-10-01,"1jx1AjqUwE9sbCyafQnUNQ==",game 3,46.98,,,,,33.27,,,2022-09-01,2022-09-01,ru,false,25
2022-11-01,"1jx1AjqUwE9sbCyafQnUNQ==",game 3,20.13,,,,,,-26.85,,2022-10-01,2022-10-01,ru,false,25
2022-12-01,"1jx1AjqUwE9sbCyafQnUNQ==",game 3,38.37,,,"1jx1AjqUwE9sbCyafQnUNQ==",,18.24,,,2022-11-01,2022-11-01,ru,false,25
2022-09-01,"1KzlDBp5hORL7Y5PBaB+0g==",game 3,58.20,"1KzlDBp5hORL7Y5PBaB+0g==",58.20,,,,,,,2022-08-01,uk,false,22
2022-10-01,"1KzlDBp5hORL7Y5PBaB+0g==",game 3,77.19,,,,,18.99,,,2022-09-01,2022-09-01,uk,false,22
2022-11-01,"1KzlDBp5hORL7Y5PBaB+0g==",game 3,63.27,,,,,,-13.92,,2022-10-01,2022-10-01,uk,false,22
2022-12-01,"1KzlDBp5hORL7Y5PBaB+0g==",game 3,21.72,,,"1KzlDBp5hORL7Y5PBaB+0g==",,,-41.55,,2022-11-01,2022-11-01,uk,false,22
2022-09-01,"1tIsLi6U0zW1RIuaViNanA==",game 3,33.36,"1tIsLi6U0zW1RIuaViNanA==",33.36,,,,,,,2022-08-01,uk,false,20
2022-10-01,"1tIsLi6U0zW1RIuaViNanA==",game 3,29.25,,,,,,-4.11,,2022-09-01,2022-09-01,uk,false,20
2022-11-01,"1tIsLi6U0zW1RIuaViNanA==",game 3,18.15,,,,,,-11.10,,2022-10-01,2022-10-01,uk,false,20
2022-12-01,"1tIsLi6U0zW1RIuaViNanA==",game 3,69.48,,,"1tIsLi6U0zW1RIuaViNanA==",,51.33,,,2022-11-01,2022-11-01,uk,false,20
2022-12-01,"29qvbD06oXdmg5G7X/Wigw==",game 3,24.51,"29qvbD06oXdmg5G7X/Wigw==",24.51,"29qvbD06oXdmg5G7X/Wigw==",,,,,,2022-11-01,uk,false,17
2022-10-01,"2be8IOVjt9pzDDEVqZwIKQ==",game 3,27.0,"2be8IOVjt9pzDDEVqZwIKQ==",27.0,,27.0,,,,,2022-09-01,ru,false,25
2022-12-01,"2be8IOVjt9pzDDEVqZwIKQ==",game 3,69.96,,,"2be8IOVjt9pzDDEVqZwIKQ==",,,,69.96,2022-10-01,2022-11-01,ru,false,25
2022-04-01,"2FYEYdoJMUOtbJ6TruruWA==",game 3,56.85,"2FYEYdoJMUOtbJ6TruruWA==",56.85,,,,,,,2022-03-01,ru,false,20
2022-05-01,"2FYEYdoJMUOtbJ6TruruWA==",game 3,30.33,,,,,,-26.52,,2022-04-01,2022-04-01,ru,false,20
2022-06-01,"2FYEYdoJMUOtbJ6TruruWA==",game 3,22.47,,,,,,-7.86,,2022-05-01,2022-05-01,ru,false,20
2022-07-01,"2FYEYdoJMUOtbJ6TruruWA==",game 3,24.84,,,,,2.37,,,2022-06-01,2022-06-01,ru,false,20
2022-08-01,"2FYEYdoJMUOtbJ6TruruWA==",game 3,14.19,,,,14.19,,-10.65,,2022-07-01,2022-07-01,ru,false,20
2022-10-01,"2FYEYdoJMUOtbJ6TruruWA==",game 3,42.84,,,,,,,42.84,2022-08-01,2022-09-01,ru,false,20
2022-11-01,"2FYEYdoJMUOtbJ6TruruWA==",game 3,29.13,,,,,,-13.71,,2022-10-01,2022-10-01,ru,false,20
2022-12-01,"2FYEYdoJMUOtbJ6TruruWA==",game 3,14.13,,,"2FYEYdoJMUOtbJ6TruruWA==",,,-15.00,,2022-11-01,2022-11-01,ru,false,20
2022-09-01,"2KL9Q4TKLCcD4cngwhx6Dg==",game 3,14.04,"2KL9Q4TKLCcD4cngwhx6Dg==",14.04,,,,,,,2022-08-01,ru,false,18
2022-10-01,"2KL9Q4TKLCcD4cngwhx6Dg==",game 3,56.04,,,,,42.00,,,2022-09-01,2022-09-01,ru,false,18
2022-11-01,"2KL9Q4TKLCcD4cngwhx6Dg==",game 3,24.84,,,"2KL9Q4TKLCcD4cngwhx6Dg==",,,-31.20,,2022-10-01,2022-10-01,ru,false,18
2022-08-01,"2onLVyXEEj2aH+D4N9ldYQ==",game 3,50.04,"2onLVyXEEj2aH+D4N9ldYQ==",50.04,,50.04,,,,,2022-07-01,uk,false,16
2022-10-01,"2onLVyXEEj2aH+D4N9ldYQ==",game 3,42.72,,,,,,,42.72,2022-08-01,2022-09-01,uk,false,16
2022-11-01,"2onLVyXEEj2aH+D4N9ldYQ==",game 3,22.68,,,,,,-20.04,,2022-10-01,2022-10-01,uk,false,16
2022-12-01,"2onLVyXEEj2aH+D4N9ldYQ==",game 3,106.38,,,"2onLVyXEEj2aH+D4N9ldYQ==",,83.70,,,2022-11-01,2022-11-01,uk,false,16
2022-04-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,54.96,"2Tm77AxZ7h7oCNKgCgMpnQ==",54.96,,,,,,,2022-03-01,uk,false,23
2022-05-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,72.06,,,,,17.10,,,2022-04-01,2022-04-01,uk,false,23
2022-06-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,25.35,,,,,,-46.71,,2022-05-01,2022-05-01,uk,false,23
2022-07-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,38.10,,,,38.10,12.75,,,2022-06-01,2022-06-01,uk,false,23
2022-09-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,12.12,,,,,,,12.12,2022-07-01,2022-08-01,uk,false,23
2022-10-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,21.87,,,,,9.75,,,2022-09-01,2022-09-01,uk,false,23
2022-11-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,15.99,,,"2Tm77AxZ7h7oCNKgCgMpnQ==",,,-5.88,,2022-10-01,2022-10-01,uk,false,23
2022-03-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,23.76,"3iITAz/ADjFv3PDTgTjxSg==",23.76,,,,,,,2022-02-01,ru,false,16
2022-04-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,81.42,,,,,57.66,,,2022-03-01,2022-03-01,ru,false,16
2022-05-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,15.69,,,,,,-65.73,,2022-04-01,2022-04-01,ru,false,16
2022-06-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,34.35,,,,,18.66,,,2022-05-01,2022-05-01,ru,false,16
2022-07-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,50.58,,,,,16.23,,,2022-06-01,2022-06-01,ru,false,16
2022-08-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,97.08,,,,,46.50,,,2022-07-01,2022-07-01,ru,false,16
2022-09-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,18.72,,,"3iITAz/ADjFv3PDTgTjxSg==",,,-78.36,,2022-08-01,2022-08-01,ru,false,16
2022-06-01,"3KHhqZr7/1n2+bTP13WuXA==",game 3,74.85,"3KHhqZr7/1n2+bTP13WuXA==",74.85,,74.85,,,,,2022-05-01,uk,false,16
2022-08-01,"3KHhqZr7/1n2+bTP13WuXA==",game 3,20.19,,,,,,,20.19,2022-06-01,2022-07-01,uk,false,16
2022-09-01,"3KHhqZr7/1n2+bTP13WuXA==",game 3,48.27,,,,,28.08,,,2022-08-01,2022-08-01,uk,false,16
2022-10-01,"3KHhqZr7/1n2+bTP13WuXA==",game 3,29.22,,,"3KHhqZr7/1n2+bTP13WuXA==",,,-19.05,,2022-09-01,2022-09-01,uk,false,16
2022-10-01,"3KSfEl7FcP/+5FSUNXs5Aw==",game 3,23.31,"3KSfEl7FcP/+5FSUNXs5Aw==",23.31,"3KSfEl7FcP/+5FSUNXs5Aw==",,,,,,2022-09-01,ru,false,28
2022-12-01,"3OXz+Ar2gN+zfGLZTRCVMQ==",game 3,18.9,"3OXz+Ar2gN+zfGLZTRCVMQ==",18.9,"3OXz+Ar2gN+zfGLZTRCVMQ==",,,,,,2022-11-01,uk,false,16
2022-05-01,"3rCdNEPkh3vwmYB0BVadEw==",game 3,22.86,"3rCdNEPkh3vwmYB0BVadEw==",22.86,,22.86,,,,,2022-04-01,ru,false,27
2022-07-01,"3rCdNEPkh3vwmYB0BVadEw==",game 3,21.87,,,,,,,21.87,2022-05-01,2022-06-01,ru,false,27
2022-08-01,"3rCdNEPkh3vwmYB0BVadEw==",game 3,17.34,,,"3rCdNEPkh3vwmYB0BVadEw==",,,-4.53,,2022-07-01,2022-07-01,ru,false,27
2022-11-01,"3TfpxDVNF0T+g4S60EOCBw==",game 3,15.27,"3TfpxDVNF0T+g4S60EOCBw==",15.27,"3TfpxDVNF0T+g4S60EOCBw==",,,,,,2022-10-01,uk,false,28
2022-11-01,"3v8rT35Ra6ui/zatnMoTIw==",game 3,17.85,"3v8rT35Ra6ui/zatnMoTIw==",17.85,,,,,,,2022-10-01,uk,false,28
2022-12-01,"3v8rT35Ra6ui/zatnMoTIw==",game 3,43.62,,,"3v8rT35Ra6ui/zatnMoTIw==",,25.77,,,2022-11-01,2022-11-01,uk,false,28
2022-04-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,59.67,"3Whh6FLR1MSfsuHKVdCEYQ==",59.67,,,,,,,2022-03-01,uk,true,21
2022-05-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,12.36,,,,,,-47.31,,2022-04-01,2022-04-01,uk,true,21
2022-06-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,20.13,,,,,7.77,,,2022-05-01,2022-05-01,uk,true,21
2022-07-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,15.78,,,,,,-4.35,,2022-06-01,2022-06-01,uk,true,21
2022-08-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,17.16,,,,,1.38,,,2022-07-01,2022-07-01,uk,true,21
2022-09-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,19.74,,,,19.74,2.58,,,2022-08-01,2022-08-01,uk,true,21
2022-12-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,26.73,,,"3Whh6FLR1MSfsuHKVdCEYQ==",,,,26.73,2022-09-01,2022-11-01,uk,true,21
2022-06-01,"3Xuq0acIoGEgw19qflIoog==",game 3,12.69,"3Xuq0acIoGEgw19qflIoog==",12.69,,,,,,,2022-05-01,uk,false,25
2022-07-01,"3Xuq0acIoGEgw19qflIoog==",game 3,41.73,,,,,29.04,,,2022-06-01,2022-06-01,uk,false,25
2022-08-01,"3Xuq0acIoGEgw19qflIoog==",game 3,19.86,,,,,,-21.87,,2022-07-01,2022-07-01,uk,false,25
2022-09-01,"3Xuq0acIoGEgw19qflIoog==",game 3,34.32,,,,,14.46,,,2022-08-01,2022-08-01,uk,false,25
2022-10-01,"3Xuq0acIoGEgw19qflIoog==",game 3,30.9,,,"3Xuq0acIoGEgw19qflIoog==",,,-3.42,,2022-09-01,2022-09-01,uk,false,25
2022-03-01,"4b7l8C489HEJirtoe7xtFg==",game 3,27.15,"4b7l8C489HEJirtoe7xtFg==",27.15,,,,,,,2022-02-01,uk,true,20
2022-04-01,"4b7l8C489HEJirtoe7xtFg==",game 3,14.94,,,,,,-12.21,,2022-03-01,2022-03-01,uk,true,20
2022-05-01,"4b7l8C489HEJirtoe7xtFg==",game 3,26.40,,,,,11.46,,,2022-04-01,2022-04-01,uk,true,20
2022-06-01,"4b7l8C489HEJirtoe7xtFg==",game 3,22.83,,,,,,-3.57,,2022-05-01,2022-05-01,uk,true,20
2022-07-01,"4b7l8C489HEJirtoe7xtFg==",game 3,89.28,,,,,66.45,,,2022-06-01,2022-06-01,uk,true,20
2022-08-01,"4b7l8C489HEJirtoe7xtFg==",game 3,16.56,,,,,,-72.72,,2022-07-01,2022-07-01,uk,true,20
2022-09-01,"4b7l8C489HEJirtoe7xtFg==",game 3,18.24,,,,18.24,1.68,,,2022-08-01,2022-08-01,uk,true,20
2022-11-01,"4b7l8C489HEJirtoe7xtFg==",game 3,31.26,,,,,,,31.26,2022-09-01,2022-10-01,uk,true,20
2022-12-01,"4b7l8C489HEJirtoe7xtFg==",game 3,21.75,,,"4b7l8C489HEJirtoe7xtFg==",,,-9.51,,2022-11-01,2022-11-01,uk,true,20
2022-03-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,17.79,"4btLP2zvi8eBV0t08fdkKQ==",17.79,,,,,,,2022-02-01,ru,false,20
2022-04-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,125.97,,,,,108.18,,,2022-03-01,2022-03-01,ru,false,20
2022-05-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,91.68,,,,,,-34.29,,2022-04-01,2022-04-01,ru,false,20
2022-06-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,27.87,,,,,,-63.81,,2022-05-01,2022-05-01,ru,false,20
2022-07-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,40.71,,,,,12.84,,,2022-06-01,2022-06-01,ru,false,20
2022-08-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,47.91,,,,,7.20,,,2022-07-01,2022-07-01,ru,false,20
2022-09-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,23.34,,,,23.34,,-24.57,,2022-08-01,2022-08-01,ru,false,20
2022-12-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,92.10,,,"4btLP2zvi8eBV0t08fdkKQ==",,,,92.10,2022-09-01,2022-11-01,ru,false,20
2022-09-01,"4EiWC2ewiX2A7i9NuBAefQ==",game 3,18.69,"4EiWC2ewiX2A7i9NuBAefQ==",18.69,,,,,,,2022-08-01,uk,true,18
2022-10-01,"4EiWC2ewiX2A7i9NuBAefQ==",game 3,57.39,,,,,38.70,,,2022-09-01,2022-09-01,uk,true,18
2022-11-01,"4EiWC2ewiX2A7i9NuBAefQ==",game 3,29.79,,,"4EiWC2ewiX2A7i9NuBAefQ==",,,-27.60,,2022-10-01,2022-10-01,uk,true,18
2022-05-01,"4oH5e29koOH9zNYW8Kwcsg==",game 3,12.99,"4oH5e29koOH9zNYW8Kwcsg==",12.99,,12.99,,,,,2022-04-01,uk,false,28
2022-07-01,"4oH5e29koOH9zNYW8Kwcsg==",game 3,18.06,,,,,,,18.06,2022-05-01,2022-06-01,uk,false,28
2022-08-01,"4oH5e29koOH9zNYW8Kwcsg==",game 3,12.51,,,"4oH5e29koOH9zNYW8Kwcsg==",,,-5.55,,2022-07-01,2022-07-01,uk,false,28
2022-06-01,"4pssft0TgDfiQexjbe25lw==",game 3,14.76,"4pssft0TgDfiQexjbe25lw==",14.76,,,,,,,2022-05-01,ru,false,26
2022-07-01,"4pssft0TgDfiQexjbe25lw==",game 3,14.43,,,,,,-0.33,,2022-06-01,2022-06-01,ru,false,26
2022-08-01,"4pssft0TgDfiQexjbe25lw==",game 3,59.40,,,,59.40,44.97,,,2022-07-01,2022-07-01,ru,false,26
2022-11-01,"4pssft0TgDfiQexjbe25lw==",game 3,37.80,,,"4pssft0TgDfiQexjbe25lw==",,,,37.80,2022-08-01,2022-10-01,ru,false,26
2022-11-01,"54ouP7lBhVCeV8ftS1Oj4Q==",game 3,29.22,"54ouP7lBhVCeV8ftS1Oj4Q==",29.22,,,,,,,2022-10-01,ru,false,21
2022-12-01,"54ouP7lBhVCeV8ftS1Oj4Q==",game 3,28.23,,,"54ouP7lBhVCeV8ftS1Oj4Q==",,,-0.99,,2022-11-01,2022-11-01,ru,false,21
2022-07-01,"5a/eDajN+4bJdigfI5TWoQ==",game 3,12.87,"5a/eDajN+4bJdigfI5TWoQ==",12.87,"5a/eDajN+4bJdigfI5TWoQ==",,,,,,2022-06-01,ru,false,17
2022-12-01,"5fGaUgWk82R8c6U6A5d9pg==",game 3,17.28,"5fGaUgWk82R8c6U6A5d9pg==",17.28,"5fGaUgWk82R8c6U6A5d9pg==",,,,,,2022-11-01,uk,false,31
2022-08-01,"5n2VR2SS79K3vJ0/V2A8RQ==",game 3,47.13,"5n2VR2SS79K3vJ0/V2A8RQ==",47.13,,,,,,,2022-07-01,ru,false,27
2022-09-01,"5n2VR2SS79K3vJ0/V2A8RQ==",game 3,32.04,,,"5n2VR2SS79K3vJ0/V2A8RQ==",,,-15.09,,2022-08-01,2022-08-01,ru,false,27
2022-10-01,"6NexxpTuLaFmuoksJ0l8rg==",game 3,19.17,"6NexxpTuLaFmuoksJ0l8rg==",19.17,,19.17,,,,,2022-09-01,uk,false,24
2022-12-01,"6NexxpTuLaFmuoksJ0l8rg==",game 3,102.84,,,"6NexxpTuLaFmuoksJ0l8rg==",,,,102.84,2022-10-01,2022-11-01,uk,false,24
2022-05-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,22.74,"6We7zBO7mVbNxGEl/xPKVg==",22.74,,,,,,,2022-04-01,uk,false,19
2022-06-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,28.95,,,,,6.21,,,2022-05-01,2022-05-01,uk,false,19
2022-07-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,118.83,,,,,89.88,,,2022-06-01,2022-06-01,uk,false,19
2022-08-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,21.87,,,,,,-96.96,,2022-07-01,2022-07-01,uk,false,19
2022-09-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,41.55,,,,,19.68,,,2022-08-01,2022-08-01,uk,false,19
2022-10-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,151.68,,,,,110.13,,,2022-09-01,2022-09-01,uk,false,19
2022-11-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,95.43,,,,,,-56.25,,2022-10-01,2022-10-01,uk,false,19
2022-12-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,75.81,,,"6We7zBO7mVbNxGEl/xPKVg==",,,-19.62,,2022-11-01,2022-11-01,uk,false,19
2022-10-01,/70HXakPPmIGA9K58CIOug==,game 3,15.48,/70HXakPPmIGA9K58CIOug==,15.48,,,,,,,2022-09-01,uk,false,18
2022-11-01,/70HXakPPmIGA9K58CIOug==,game 3,12.51,,,/70HXakPPmIGA9K58CIOug==,,,-2.97,,2022-10-01,2022-10-01,uk,false,18
2022-03-01,"72brUr/DKItStlTen5pHYg==",game 3,24.15,"72brUr/DKItStlTen5pHYg==",24.15,,24.15,,,,,2022-02-01,uk,false,24
2022-05-01,"72brUr/DKItStlTen5pHYg==",game 3,19.92,,,,,,,19.92,2022-03-01,2022-04-01,uk,false,24
2022-06-01,"72brUr/DKItStlTen5pHYg==",game 3,86.91,,,,,66.99,,,2022-05-01,2022-05-01,uk,false,24
2022-07-01,"72brUr/DKItStlTen5pHYg==",game 3,37.11,,,,,,-49.80,,2022-06-01,2022-06-01,uk,false,24
2022-08-01,"72brUr/DKItStlTen5pHYg==",game 3,30.63,,,,,,-6.48,,2022-07-01,2022-07-01,uk,false,24
2022-09-01,"72brUr/DKItStlTen5pHYg==",game 3,18.3,,,,,,-12.33,,2022-08-01,2022-08-01,uk,false,24
2022-10-01,"72brUr/DKItStlTen5pHYg==",game 3,31.98,,,,,13.68,,,2022-09-01,2022-09-01,uk,false,24
2022-11-01,"72brUr/DKItStlTen5pHYg==",game 3,13.56,,,"72brUr/DKItStlTen5pHYg==",,,-18.42,,2022-10-01,2022-10-01,uk,false,24
2022-03-01,"75lEf3nSWLSf6GncqhR9gQ==",game 3,14.1,"75lEf3nSWLSf6GncqhR9gQ==",14.1,,,,,,,2022-02-01,ru,false,22
2022-04-01,"75lEf3nSWLSf6GncqhR9gQ==",game 3,65.97,,,,,51.87,,,2022-03-01,2022-03-01,ru,false,22
2022-05-01,"75lEf3nSWLSf6GncqhR9gQ==",game 3,58.26,,,,,,-7.71,,2022-04-01,2022-04-01,ru,false,22
2022-06-01,"75lEf3nSWLSf6GncqhR9gQ==",game 3,86.85,,,,,28.59,,,2022-05-01,2022-05-01,ru,false,22
2022-07-01,"75lEf3nSWLSf6GncqhR9gQ==",game 3,49.23,,,,49.23,,-37.62,,2022-06-01,2022-06-01,ru,false,22
2022-09-01,"75lEf3nSWLSf6GncqhR9gQ==",game 3,13.8,,,"75lEf3nSWLSf6GncqhR9gQ==",,,,13.8,2022-07-01,2022-08-01,ru,false,22
2022-03-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,48.45,"787jk0VnxM8/sv/0TkvO6A==",48.45,,,,,,,2022-02-01,uk,false,20
2022-04-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,53.49,,,,,5.04,,,2022-03-01,2022-03-01,uk,false,20
2022-05-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,36.75,,,,,,-16.74,,2022-04-01,2022-04-01,uk,false,20
2022-06-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,97.95,,,,,61.20,,,2022-05-01,2022-05-01,uk,false,20
2022-07-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,21.48,,,,,,-76.47,,2022-06-01,2022-06-01,uk,false,20
2022-08-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,76.29,,,,,54.81,,,2022-07-01,2022-07-01,uk,false,20
2022-09-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,50.61,,,,,,-25.68,,2022-08-01,2022-08-01,uk,false,20
2022-10-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,34.92,,,,,,-15.69,,2022-09-01,2022-09-01,uk,false,20
2022-11-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,33.30,,,,,,-1.62,,2022-10-01,2022-10-01,uk,false,20
2022-12-01,"787jk0VnxM8/sv/0TkvO6A==",game 3,17.49,,,"787jk0VnxM8/sv/0TkvO6A==",,,-15.81,,2022-11-01,2022-11-01,uk,false,20
2022-07-01,"7BqUeLmbiug63XrWs2+ZQQ==",game 3,61.41,"7BqUeLmbiug63XrWs2+ZQQ==",61.41,,,,,,,2022-06-01,ru,false,15
2022-08-01,"7BqUeLmbiug63XrWs2+ZQQ==",game 3,32.94,,,,,,-28.47,,2022-07-01,2022-07-01,ru,false,15
2022-09-01,"7BqUeLmbiug63XrWs2+ZQQ==",game 3,14.01,,,,,,-18.93,,2022-08-01,2022-08-01,ru,false,15
2022-10-01,"7BqUeLmbiug63XrWs2+ZQQ==",game 3,127.08,,,,,113.07,,,2022-09-01,2022-09-01,ru,false,15
2022-11-01,"7BqUeLmbiug63XrWs2+ZQQ==",game 3,22.41,,,,,,-104.67,,2022-10-01,2022-10-01,ru,false,15
2022-12-01,"7BqUeLmbiug63XrWs2+ZQQ==",game 3,27.12,,,"7BqUeLmbiug63XrWs2+ZQQ==",,4.71,,,2022-11-01,2022-11-01,ru,false,15
